,Force / N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time / s,9.99g try 1,9.99g try 2,9.99g try 3,20.18 try 1,20.18 try 2,20.18 try 3,30.26 try 1,30.26 try 2,30.26 try 3,40.31 try 1,40.31 try 2,40.31 try 3,50.48 try 1,50.48 try 2,50.48 try 3,60.51 try 1,60.51 try 2,60.51 try 3,70.59 try 1,70.59 try 2,70.59 try 3,80.81 try 1,80.81 try 2,80.81 try 3,91.21 try 1,91.21 try 2,91.21 try 3,100.95 try 1,100.95 try 2,100.95 try 3
2.1,0.642846602,-0.2479518469,-1.33805898,2.489955656,0.3353638471,-4.226654041,-1.335762635,4.517344973,4.828491801,7.915435431,-1.669290544,8.612546627,-7.570527081,-3.859378576,2.408293306,-1.300661194,0.1944667016,0.08518030287,-0.1421148788,-2.667299823,2.035090333,4.494557846,-5.927649227,-5.664423111,0.5645920895,-0.6599751091,2.370422409,-5.29500078,-5.506005493,-4.769365083
2.11,0.7146591691,0.2179871105,-0.403334965,2.675835713,0.3816564076,-3.789894302,-1.388243259,4.575433431,4.896314399,8.023526692,-1.703477491,8.739594196,-7.295459829,-3.910207343,2.293278899,-1.860275697,0.03534210532,0.1193567922,-0.135144669,-2.623175803,2.00626568,4.775990814,-6.19887095,-6.324054965,-0.07426277223,-0.08277419464,1.791086706,-4.861485083,-5.24988121,-4.415498594
2.12,0.7553385135,0.6746098808,0.5487761114,2.799606376,0.4192173532,-3.261913113,-1.419199055,4.563033581,4.889431378,8.036384778,-1.717630341,8.764613688,-6.951605424,-3.924937298,2.156333688,-2.405101782,-0.124063446,0.1525857201,-0.1272602681,-2.561130011,1.963717468,5.028752342,-6.432879337,-6.945731764,-0.7127208709,0.4948688359,1.202181779,-4.404591082,-4.968284788,-4.040214493
2.13,0.763112491,1.102401626,1.477230414,2.858394776,0.4471873566,-2.655418799,-1.428150049,4.480336453,4.807947754,7.953857072,-1.711582646,8.687313021,-6.542205986,-3.903432454,1.998767288,-2.930808308,-0.2824827446,0.1846032853,-0.1185150106,-2.481586351,1.907736741,5.251325041,-6.628269577,-7.525722392,-1.347371122,1.069868658,0.6068539652,-3.926515926,-4.662582517,-3.645333114
2.14,0.7376424383,1.483079669,2.342003907,2.850836364,0.4649265144,-1.985009469,-1.414957456,4.328616063,4.653106766,7.776923116,-1.685405531,8.50859462,-6.071121647,-3.845891344,1.822086521,-3.433216126,-0.4386564227,0.2151553036,-0.108968054,-2.385088272,1.838706427,5.442372753,-6.783868695,-8.060545922,-1.974822784,1.639154064,0.008283917888,-3.42955862,-4.334257648,-3.232769851
2.15,0.6800379258,1.800374847,3.105817726,2.777106579,0.4720289863,-1.266821646,-1.379825828,4.110209788,4.427270902,7.507682982,-1.639406858,8.230544887,-5.542794148,-3.752845182,1.627980999,-3.908331304,-0.5913429648,0.2439992256,-0.09868397907,-2.272295058,1.757098717,5.600748571,-6.898742591,-8.546992506,-2.591723577,2.19968437,-0.5903303878,-2.916108975,-3.984903195,-2.804525864
2.16,0.5928084214,2.04072681,3.735745197,2.63891678,0.4683322805,-0.5181418619,-1.323299884,3.828482358,4.13388586,7.149332345,-1.574127603,7.856409838,-4.962204964,-3.625152968,1.418306966,-4.352376873,-0.7393285761,0.2709060625,-0.08773235276,-2.143977321,1.663471836,5.725501727,-6.97220165,-8.982142639,-3.19477759,2.748465654,-1.18579074,-2.388636107,-3.616214209,-2.362678374
2.17,0.4797539679,2.193863559,4.204631254,2.439474519,0.453920971,0.2430094182,-1.246256063,3.487774014,3.777427967,6.706124557,-1.490335497,7.390557215,-4.33482833,-3.463993546,1.195069554,-4.761822856,-0.8814368327,0.2956622034,-0.07618725779,-2.00101174,1.558466226,5.815883297,-7.003804879,-9.363384683,-3.780762891,3.282566748,-1.774915778,-1.849676573,-3.229979546,-1.909370586
2.18,0.3457996398,2.253240436,4.492263043,2.183409093,0.4291247628,0.9983115452,-1.149888937,3.093333647,3.363335887,6.183320156,-1.389015993,6.83842549,-3.666579633,-3.270854733,0.9604035976,-5.133414327,-1.016538033,0.3180711119,-0.06412679134,-1.844375069,1.442800161,5.871350699,-6.993362556,-9.688430539,-4.346548741,3.799134895,-2.354557989,-1.301822163,-2.828073198,-1.446801294
2.19,0.1967809878,2.216319833,4.586241262,1.876664092,0.3945109487,1.729584657,-1.035692686,2.651237936,2.897927639,5.587124436,-1.271360681,6.206460379,-2.96375963,-3.047519575,0.7165532268,-5.464197289,-1.143558179,0.3379548859,-0.0516325369,-1.675137463,1.317264838,5.891570947,-6.940937369,-9.955329379,-4.889112322,4.295410985,-2.921620521,-0.7477074451,-2.412445192,-0.9772142138
2.2,0.03918982103,2.084679638,4.482514676,1.52635944,0.3508714308,2.419227263,-0.9054379322,2.168297729,2.388304198,4.924613786,-1.138753271,5.502039592,-2.232995043,-2.796049888,0.4658504016,-5.751542154,-1.261487512,0.3551556701,-0.03878901228,-1.494455169,1.182718962,5.876422656,-6.846844039,-10.16247936,-5.405554883,4.768744293,-3.473073737,-0.1899970909,-1.985112132,-0.5028871039
2.21,-0.1201086008,1.863945801,4.185554754,1.140626132,0.299204603,3.050639902,-0.7611442867,1.651953114,1.842241156,4.203651706,-0.9927533179,4.733386701,-1.481176077,-2.518767228,0.2106926126,-5.993164651,-1.369388545,0.3695369093,-0.02568309799,-1.303562624,1.040082874,5.825996763,-6.711647431,-10.30863723,-5.89311723,5.216606637,-4.005971389,0.3686269368,-1.548147416,-0.02612071304
2.22,-0.2741746433,1.563551897,3.708162919,0.7284175073,0.2406925098,3.608624689,-0.6050490347,1.110158805,1.268070081,3.432795469,-0.8350778854,3.909475142,-0.7153914557,-2.218231452,-0.04648004638,-6.187143981,-1.466403507,0.3809844323,-0.01240344946,-1.103764023,0.890332255,5.740595989,-6.536159163,-10.39292579,-6.349194469,5.636605881,-4.517466372,0.9254782813,-1.103671172,0.4507723777
2.23,-0.4162966143,1.19633596,3.070918693,0.299301428,0.1766738032,4.079751124,-0.4395724462,0.5512615889,0.6745513993,2.621194554,-0.6675813478,3.039923452,0.05713842163,-1.897217089,-0.303208213,-6.331938089,-1.551761172,0.3894073582,0.0009601026606,-0.896424408,0.7344914518,5.620733014,-6.321432735,-10.41483917,-6.77134992,6.026498711,-5.004825925,1.477879111,-0.6538399757,0.9254789728
2.24,-0.5402831499,0.777991818,2.301292556,-0.1367618008,0.1086131164,4.452679355,-0.2672802499,-0.01612826484,0.07074073563,1.778482048,-0.4922335824,2.13488298,0.8291295544,-1.558687726,-0.5570367758,-6.426395922,-1.624782981,0.3947388184,0.01431716013,-0.6829603415,0.5736264699,5.467127405,-6.068757201,-10.37424585,-7.157328135,6.384202619,-5.465446235,2.023172995,-0.2008363831,1.395696483
2.25,-0.6407329336,0.3263983828,1.432461739,-0.5696506223,0.03806755609,4.718433128,-0.09084385066,-0.5832696494,-0.5341492563,0.9146603082,-0.3110968026,1.204919384,1.593303022,-1.205768645,-0.8055383524,-6.46976658,-1.68488844,0.3969364869,0.02757736865,-0.4648302292,0.408837682,5.280701295,-5.779649435,-10.27138946,-7.505066953,6.707807028,-5.896866352,2.55873768,0.2531416568,1.859144092
2.26,-0.7132699976,-0.1391444478,0.5018800117,-0.9893171613,-0.03334892175,4.870615841,0.08700109013,-1.141425286,-1.130889455,0.03998224475,-0.126301305,0.2608892748,2.342453615,-0.8417179776,-1.046336503,-6.461705283,-1.731599738,0.3959829167,0.04065102906,-0.2435243553,0.2412523013,5.062573844,-5.455845022,-10.10688732,-7.812708511,6.99558349,-6.296781329,3.0819977,0.705891467,2.313573822
2.27,-0.7547343564,-0.5987406162,-0.450336881,-1.386020448,-0.104002436,4.90556451,0.2634970717,-1.681996329,-1.710375083,-0.8351703776,0.05997958518,-0.6861865167,3.069517771,-0.4698966172,-1.277128455,-6.402276117,-1.764545537,0.3918856781,0.05344970412,-0.02055470131,0.07201667035,4.814054526,-5.099287837,-9.881726708,-8.078609177,7.245994925,-6.663054545,3.590436759,1.15521633,2.756781439
2.28,-0.7633196677,-1.032748209,-1.383140542,-1.750552518,-0.1722765608,4.822437931,0.4359075089,-2.196654838,-2.263764628,-1.700410161,0.2455550731,-1.625251606,3.767640175,-0.0937371978,-1.495707129,-6.291951517,-1.783463933,0.3846772986,0.06588681672,0.2025553842,-0.09771157983,4.536635261,-4.712118382,-9.597258978,-8.301348324,7.457703828,-6.993729115,4.081609834,1.598936146,3.18661714
2.29,-0.7386519233,-1.422618901,-2.256319443,-2.074452139,-0.2366093065,4.623236932,0.6015591633,-2.677472076,-2.782614736,-2.545467366,0.42824266,-2.545343125,4.430238397,0.283287598,-1.699982238,-6.131608519,-1.788204532,0.3744150047,0.07787823555,0.4242815933,-0.2667714486,4.231981467,-4.296660928,-9.255191418,-8.479735927,7.629579413,-7.287038346,4.553154932,2.03489801,3.600995983
2.3,-0.6818057423,-1.75169066,-3.032232376,-2.350201208,-0.295528855,4.312756214,0.757883592,-3.117040658,-3.259009041,-3.360311803,0.6058938111,-3.435719711,5.051064956,0.6576970989,-1.888000285,-5.922521783,-1.778729649,0.361180268,0.08934284425,0.6431090728,-0.4340065073,3.901922055,-3.85540957,-8.857577012,-8.612818914,7.760703653,-7.541415178,5.002804448,2.46098666,3.997908001
2.31,-0.5952575566,-2.005899836,-3.677431097,-2.571399254,-0.3476872328,3.89846894,0.9024569716,-3.508588669,-3.685678947,-4.135271889,0.7764192233,-4.285986898,5.624266227,1.026034777,-2.057963237,-5.666353462,-1.755114604,0.3450781575,0.10020309,0.8575427738,-0.5982728094,3.54843845,-3.391013245,-8.406802121,-8.699886266,7.850376182,-7.755500553,5.428396072,2.875134735,4.375427953
2.32,-0.4827777285,-2.174382209,-4.164102222,-2.732912002,-0.3918911494,3.390346862,1.03303768,-3.846083992,-4.056114529,-4.861149434,0.9378133976,-5.086218467,6.144437632,1.384900161,-2.208245726,-5.365139986,-1.717547129,0.3262365063,0.1103855084,1.066117666,-0.7584467161,3.173652703,-2.906259839,-7.90557216,-8.740472807,7.898118039,-7.92815068,5.827883184,3.275332813,4.731724656
2.33,-0.3492662993,-2.249937293,-4.471266215,-2.830990545,-0.4271292985,2.800620303,1.147601051,-4.124327233,-4.364663857,-5.529328822,1.088178224,-5.827072326,6.606674598,1.730980225,-2.337410588,-5.021275879,-1.666325868,0.3048048963,0.11982122,1.267408748,-0.9134325817,2.779814742,-2.404059446,-7.356895358,-8.734361697,7.903674225,-8.058443142,6.199344698,3.659639153,5.065069874
2.34,-0.2005395256,-2.229336063,-4.585681773,-2.863358362,-0.4525954944,2.143483778,1.244370771,-4.339031827,-4.606619235,-6.131879272,1.225745307,-6.499899573,7.006618802,2.061079978,-2.444222611,-4.637494716,-1.601858009,0.2809534711,0.1284463966,1.46004078,-1.062170249,2.369288875,-1.887426896,-6.764064707,-8.681585585,7.867015061,-8.145681827,6.540994299,4.026189122,5.3738467
2.35,-0.04307650122,-2.113458962,-4.502416645,-2.829264155,-0.467707116,1.434754337,1.321846418,-4.486890074,-4.778289022,-6.661648966,1.348896761,-7.096845466,7.340499267,2.372151957,-2.527660341,-4.216847399,-1.524656045,0.2548715846,0.1362026929,1.642697683,-1.203642299,1.944539588,-1.359463661,-6.130638195,-8.582426437,7.788336353,-8.189400645,6.851189036,4.373204239,5.656557394
2.36,0.1162630965,-1.907258268,-4.225060243,-2.729499293,-0.4721184366,0.6914908537,1.378826723,-4.565624095,-4.877053964,-7.112349939,1.456184236,-7.610941117,7.605167912,2.661324365,-2.586925859,-3.762677898,-1.435333699,0.2267662982,0.1430376412,1.81413153,-1.336881015,1.508116754,-0.8233392337,-5.460417457,-8.437414031,7.668058342,-8.18936602,7.128437217,4.699000806,5.911830652
2.37,0.2705378395,-1.619546448,-3.765568915,-2.566379439,-0.4657285331,-0.0684165761,1.414428204,-4.574020928,-4.901407152,-7.478632714,1.546345957,-8.036184853,7.798129241,2.925927576,-2.621452402,-3.278596673,-1.334601047,0.1968607371,0.1489050061,1.973171068,-1.460974996,1.062640327,-0.2822720998,-4.757424953,-8.247323124,7.506823462,-8.145578137,7.371405591,5.001998076,6.138428258
2.38,0.4130269437,-1.262619537,-3.143750525,-2.343690803,-0.448683595,-0.8266772425,1.428098856,-4.511951214,-4.850977016,-7.756149791,1.618321559,-8.367612279,7.917563867,3.163518791,-2.630909791,-2.768451967,-1.223258872,0.1653923185,0.1537650978,2.118729726,-1.575075397,0.6107846107,0.2604895825,-4.025879831,-8.013169311,7.305492903,-8.058270942,7.578925751,5.280725922,6.335251089
2.39,0.5375230516,-0.8517316375,-2.386410571,-2.066602259,-0.4213735799,-1.565040073,1.419626715,-4.380371187,-4.726532997,-7.941607253,1.671264556,-8.601354233,7.962345669,3.371904579,-2.615207584,-2.236299219,-1.102192298,0.1326108669,0.1575850398,2.249813034,-1.678401731,0.1552622049,0.8016874822,-3.270172602,-7.736203605,7.06514202,-7.927910889,7.749999756,5.533831972,6.501344444
2.4,0.6386026478,-0.4044430023,-1.526196649,-1.741545368,-0.3844232921,-2.265732927,1.389143141,-4.181307946,-4.529973801,-8.032803861,1.704552303,-8.734681957,7.93205241,3.549161136,-2.574495943,-1.686368823,-0.972363753,0.09877663098,0.1603389922,2.365525418,-1.770247209,-0.3011922779,1.338072656,-2.494838791,-7.417905748,6.787054582,-7.755194452,7.883804934,5.760088168,6.635902679
2.41,0.7118623274,0.06013044703,-0.6001910695,-1.376065095,-0.338678088,-2.911890371,1.337120786,-3.917828223,-4.264298433,-8.02865718,1.717793313,-8.76603895,7.826969718,3.693652038,-2.509164196,-1.123032495,-0.8348053206,0.06415821738,0.1620083257,2.465076323,-1.849983577,-0.7558386298,1.866425053,-1.704531716,-7.059976307,6.472715919,-7.541044402,7.979697829,5.958396729,6.738273112
2.42,0.7541106252,0.5221340816,0.3516876925,-0.9786446812,-0.2851845358,-3.487959617,1.26436626,-3.59399114,-3.933560443,-7.929216428,1.71083186,-8.695059146,7.648088393,3.804043355,-2.419837116,-0.5507685262,-0.6906105331,0.02903045817,0.1625817479,2.547785606,-1.917065409,-1.205947498,2.383572844,-0.9039945602,-6.66432759,6.123804985,-7.286604877,8.037217305,6.127795472,6.80795919
2.43,0.7635070477,0.9618230996,1.288405816,-0.5585087361,-0.2251664724,-3.980074877,1.172007628,-3.214785673,-3.54280607,-7.735661892,1.683749818,-8.522571178,7.397095064,3.879315959,-2.307368944,0.02587382352,-0.5409256789,-0.006327770932,0.1620553801,2.613088191,-1.971033842,-1.648816768,2.886411465,-0.09803190365,-6.233073425,5.742185394,-6.993235268,8.056086758,6.267462482,6.844622896
2.44,0.7396422514,1.360406366,2.169583027,-0.1254091253,-0.1599970033,-4.376391106,1.061476919,-2.786053792,-3.09799726,-7.450290917,1.636865689,-8.250588711,7.076356288,3.918774938,-2.172835223,0.6023104871,-0.3869406905,-0.04163576449,0.1604327827,2.660537925,-2.011519714,-2.081787789,3.371922252,0.7085191106,-5.76851787,5.329895466,-6.66250296,8.036215445,6.376720105,6.848086391
2.45,0.6835558761,1.700849497,2.957233325,0.3106013836,-0.09116708947,-4.667369109,0.9344879205,-2.314400466,-2.605920691,-7.07649064,1.570730865,-7.882286933,6.688896234,3.92205601,-2.017522508,1.173959033,-0.2298796846,-0.07661321592,0.157724932,2.689810627,-2.038246087,-2.502261328,3.837190567,1.510817808,-5.273142903,4.889137335,-6.296174951,7.977698928,6.455038226,6.818332876
2.46,0.5976912538,1.968602862,3.617402488,0.7394024573,-0.02025143589,-4.846005146,0.7930096079,-1.807091901,-2.074084232,-6.618697787,1.486123137,-7.421965485,6.238368171,3.889128883,-1.842916069,1.736275092,-0.0709912307,-0.1109824428,0.1539501453,2.700706303,-2.051030142,-2.907713182,4.279423288,2.304049037,-4.749595159,4.422265192,-5.896208422,7.880818603,6.502036852,6.755506671
2.47,0.4857889681,2.152223396,4.121631784,1.151041102,0.05112753426,-4.907999509,0.6392356142,-1.271943601,-1.510602389,-6.082346011,1.384037553,-6.874998268,5.72902002,3.820297539,-1.650685679,2.284788487,0.08846157394,-0.1444705912,0.1491339572,2.693150513,-2.049784434,-3.295709323,4.695965586,3.083452064,-4.200671792,3.931772711,-5.464740268,7.746040357,6.517487947,6.659912519
2.48,0.3527239005,2.243863648,4.448184772,1.535962686,0.121336798,-4.851860014,0.4755502183,-0.7171999662,-0.9240724979,-5.473801402,1.26567471,-6.247770706,5.165654303,3.716197425,-1.442669653,2.815138763,0.2472111458,-0.1768118021,0.1433089471,2.667194879,-2.034517482,-3.663920515,5.084316856,3.844349149,-3.629305531,3.420279723,-5.004075692,7.574012324,6.501316543,6.532014103
2.49,0.2042928624,2.23960716,4.582984327,1.885232712,0.1887700932,-4.678937921,0.3044913761,-0.1514072768,-0.3234435514,-4.800286922,1.132426639,-5.547605201,4.553582863,3.577789587,-1.220857264,3.323109856,0.4039954919,-0.207749322,0.1365145184,2.623016732,-2.005333718,-4.010136298,5.442145728,4.582173619,-3.038549009,2.890518231,-4.516675882,7.365561764,6.453601103,6.372431802
2.5,0.04696206422,2.13963584,4.520219478,2.190744198,0.2518846667,-4.393395405,0.1287113694,0.4167179661,0.282120342,-4.069796678,0.9858604321,-4.782675649,3.898576775,3.406351799,-0.9873697222,3.804663608,0.5575682419,-0.237037541,0.1287966324,2.560917901,-1.96243277,-4.332278252,5.767304071,5.292497276,-2.431558456,2.345317814,-4.005144866,7.121691092,6.374573141,6.181939679
2.51,-0.1124145769,1.948222198,4.262595906,2.445405852,0.3092365703,-4.002105375,-0.04906431799,0.9784233265,0.8833797782,-3.291001034,0.8276998106,-3.961912017,3.206811935,3.203466764,-0.7444398863,4.255971866,0.7067085561,-0.2644439428,0.1202074968,2.481322651,-1.906108094,-4.628412481,6.057839877,5.971056973,-1.811576837,1.787590513,-3.472215595,6.843573054,6.264616095,5.961461725
2.52,-0.2668940192,1.673546741,3.821219311,2.643306668,0.3595136951,-3.514486047,-0.226079259,1.525055272,1.471161029,-2.473143704,0.6598048551,-3.094896094,2.484810829,2.971007506,-0.4943909137,4.673446918,0.8502308312,-0.2897509509,0.1108052133,2.384774783,-1.836744971,-4.896761219,6.312008991,6.613780202,-1.181916521,1.220315279,-2.920735346,6.532545086,6.12426347,5.712067382
2.53,-0.4097465612,1.327348364,3.215116663,2.779853128,0.4015657905,-2.942274251,-0.3995888219,2.04819249,2.036496009,-1.625932034,0.484150129,-2.191749627,1.739381033,2.711120075,-0.2396140421,5.05377001,0.9869941247,-0.3127576553,0.1006533839,2.271933922,-1.75481787,-5.135713503,6.528285572,7.216809532,-0.545941589,0.6465220582,-2.353650509,6.190102884,5.954196251,5.434966349
2.54,-0.5347490126,0.924422662,2.470415983,2.851875822,0.4344307799,-2.299242928,-0.5669027265,2.53977562,2.570759108,-0.7594217842,0.3028014557,-1.263016159,0.9775510281,2.426203738,0.01745427724,5.393917731,1.115911225,-0.3332814083,0.08982068102,2.143571006,-1.6608872,-5.343834845,6.70537126,7.776525765,0.09295014035,0.06927561424,-1.773990844,5.817893212,5.755239594,5.13150272
2.55,-0.6364557997,0.4819896036,1.619220008,2.857703017,0.4573567712,-1.60086962,-0.7254267563,2.992231422,3.065798796,0.1161022261,0.1178916236,-0.3195379441,0.2065039273,2.118888825,0.27435568,5.69118605,1.235957296,-0.3511592738,0.0783803829,2.000563021,-1.55559548,-5.519875839,6.842202966,8.289569655,0.7313452657,-0.5083408468,-1.184853291,5.417705983,5.528358827,4.803148462
2.56,-0.710436195,0.01895759643,0.6982223035,2.797199456,0.4698192589,-0.8639639319,-0.872702983,3.398589442,3.514061994,0.9902481909,-0.06840469723,0.6276706319,-0.5664902498,1.792012451,0.528633398,5.943211806,1.34617802,-0.3662493212,0.06640987785,1.843887012,-1.439662942,-5.662779671,6.937959255,8.752862068,1.365833039,-1.083242142,-0.5893854335,4.991465649,5.274654761,4.451496274
2.57,-0.7534673362,-0.4448846078,-0.2528745386,2.6717695,0.4715331235,-0.1062629295,-1.006447876,3.752589402,3.908709317,1.852640661,-0.2538965305,1.567551634,-1.334143125,1.44859232,0.7778557534,6.147991499,1.445697188,-0.3784317522,0.05399014078,1.674613403,-1.313882606,-5.771688452,6.99206528,9.163622463,1.993023587,-1.652357591,0.009231329078,4.541221949,4.995358357,4.078251864
2.58,-0.763674626,-0.8897136317,-1.193070403,2.484324531,0.4624591548,0.6539957851,-1.12458771,4.048777641,4.243719426,2.693043692,-0.4364023615,2.489132669,-2.089216683,1.091798867,1.019639414,6.303897217,1.533723665,-0.3876098517,0.04120518544,1.493898686,-1.179114852,-5.845948377,7.004196228,9.519385582,2.609566025,-2.212647416,0.6077987715,4.069140052,4.691824744,3.685225675
2.59,-0.7406133968,-1.29651867,-2.081835099,2.239215374,0.4428049491,1.398513046,-1.225290716,4.282591136,4.513980895,3.501482336,-0.6137757926,3.381654985,-2.824591514,0.7249259882,1.251672182,6.409689572,1.609557676,-0.3937107556,0.02814149614,1.30297752,-1.036281541,-5.885113646,6.974279275,9.818016243,3.212166356,-2.76111898,1.203118933,3.577490144,4.365526652,3.274324102
2.6,-0.6852882819,-1.647913963,-2.880855539,1.942131311,0.4130201593,2.109368581,-1.306995486,4.450427799,4.715370206,4.268361042,-0.7839307874,4.234699066,-3.533333945,0.3513606341,1.471735112,6.464527561,1.672596373,-0.3966860296,0.01488744266,1.103154295,-0.8863597002,-5.888949139,6.90249402,10.05772216,3.797605072,-3.294842771,1.7920112,3.068636511,4.01804726,2.847540243
2.61,-0.6001094499,-1.928881812,-3.555687358,1.599968022,0.373786208,2.76945234,-1.368435181,4.549701968,4.844814656,4.984577539,-0.9448662028,5.038306275,-4.208761412,-0.02544846141,1.677723724,6.467975244,1.722338625,-0.3965120532,0.001532682542,0.8957942224,-0.7303748491,-5.857431832,6.789271406,10.23706468,4.362754355,-3.810968045,2.371329304,2.545026169,3.651072521,2.406944237
2.62,-0.4887876088,-2.127414403,-4.077239739,1.220667533,0.3260006979,3.362876336,-1.408657173,4.578884243,4.900339244,5.641630882,-1.094689325,5.783095112,-4.844505469,-0.4020226182,1.867668133,6.420005213,1.758389,-0.3931902076,-0.01183244546,0.6823140035,-0.5693939782,-5.79075093,6.635291137,10.35496745,4.904594787,-4.30673806,2.937978127,2.009177099,3.266382976,1.95467322
2.63,-0.3561723539,-2.235026982,-4.423029476,0.8130338694,0.2707568758,3.875357057,-1.427037816,4.537525047,4.881096803,6.231722346,-1.231638128,6.460370739,-5.434571839,-0.774885325,2.039751886,6.32099881,1.780460915,-0.3867468645,-0.02511753247,0.4641721547,-0.4045182532,-5.689306735,6.441477594,10.41072285,5.420231481,-4.779504791,3.488930238,1.463666134,2.865845117,1.492920955
2.64,-0.2080409009,-2.247120476,-4.578150181,0.3865287027,0.2093186213,4.294559269,-1.423292117,4.426261552,4.787380924,6.747847992,-1.354101997,7.062226479,-5.973396925,-1.140594334,2.192329332,6.171743095,1.788378905,-0.3772331772,-0.03823271101,0.2428590403,-0.2368754817,-5.553708242,6.208994287,10.40399626,5.906909549,-5.226743084,4.021242071,0.9111165727,2.451402334,1.023927196
2.65,-0.05084640925,-2.16317804,-4.535914873,-0.04894826448,0.1430915317,4.610392919,-1.397478154,4.246807864,4.62062148,7.183881801,-1.460640672,7.581636128,-6.455900274,-1.495773442,2.323941361,5.973424589,1.782080026,-0.3647246736,-0.05108926299,0.0198866913,-0.06761239899,-5.384769482,5.93923687,10.33482805,6.36202882,-5.646064135,4.532069647,0.35418556,2.025065478,0.5499668242
2.66,0.1085631419,-1.98678715,-4.298144241,-0.483289083,0.07359076422,4.815256,-1.349996173,4.001928614,4.383362806,7.534648382,-1.550001181,8.012535976,-6.877532477,-1.837143654,2.433329358,5.727619841,1.761614353,-0.3493206577,-0.06360021981,-0.2032215253,0.1021131762,-5.183504634,5.633824762,10.20363334,6.783157733,-6.035228254,5.018683772,-0.2044486889,1.588903115,0.07333880846
2.67,0.2632432771,-1.725486282,-3.87508816,-0.9064121752,0.002406371835,4.904217529,-1.281582388,3.695396369,4.079224882,7.795984402,-1.621132583,8.349895595,-7.234318065,-2.161553459,2.519447236,5.436282897,1.727144578,-0.3311434202,-0.07568095063,-0.4249413144,0.2711402616,-4.951121941,5.294591429,10.01119953,7.168046325,-6.392156826,5.478484617,-0.7620997684,1.14503148,-0.4036449411
2.68,0.4064555519,-1.390442737,-3.284983835,-1.308496341,-0.06883307402,4.875136231,-1.19329756,3.331933508,3.712848097,7.964788001,-1.673198321,8.589776572,-7.522892991,-2.466007926,2.581471443,5.101729764,1.678944721,-0.3103372686,-0.08724973493,-0.6437578665,0.4383126526,-4.689016454,4.923573369,9.758681539,7.514638255,-6.714943411,5.909015607,-1.316086001,0.695604214,-0.8786707892
2.69,0.5319611048,-0.995975382,-2.553269626,-1.680208718,-0.1384977424,4.728712084,-1.086510552,2.917139477,3.289822455,8.039055608,-1.705586067,8.729378478,-7.740536351,-2.747696348,2.618808837,4.726620001,1.617397952,-0.2870673807,-0.09822831523,-0.8581762076,0.6024868316,-4.398761655,4.522997895,9.44759491,7.82108179,-7.001863934,6.307976549,-1.863743331,0.2428019142,-1.349434597
2.7,0.6342924451,-0.5589426983,-1.711488448,-2.012921411,-0.2049938306,4.468469467,-0.9628771067,2.457404516,2.816602277,8.017905722,-1.717914916,8.767071569,-7.885196037,-3.004018193,2.631102357,4.313935575,1.542993542,-0.2615184938,-0.1085424265,-1.066731412,0.7625397897,-4.082100015,4.09526976,9.079806687,8.085739697,-7.251385884,6.673235917,-2.402438142,-0.2111784474,-1.813652901
2.71,0.7089916374,-0.09802229612,-0.7959280091,-2.298911755,-0.2668000271,4.100672329,-0.8243141701,1.959811222,2.30040773,7.901589377,-1.710039874,8.702415806,-7.955508088,-3.232607113,2.61823444,3.866957154,1.456322975,-0.2338934379,-0.1181222987,-1.267998613,0.9173767087,-3.740932531,3.642956719,8.657524226,8.307197988,-7.462176508,7.002842243,-2.929579913,-0.6641341826,-2.269073983
2.72,0.7528045059,0.3670873173,0.1539434883,-2.531541567,-0.3225023169,3.634173422,-0.6729701726,1.432025427,1.749114664,7.69148716,-1.682053556,8.536165997,-7.950809548,-3.431352787,2.580328143,3.389238032,1.358075246,-0.2044115257,-0.1269031282,-1.460602734,1.06593845,-3.377307315,3.168774119,8.183281935,8.484273482,-7.633109924,7.295034541,-3.442633682,-1.113867575,-2.713488801
2.73,0.7638223984,0.8165085989,1.097178752,-2.705411226,-0.3708263314,3.080201212,-0.5111917157,0.8821781039,1.171134444,7.390092824,-1.634285101,8.27026298,-7.871144719,-3.598420407,2.517745965,2.884575877,1.249031384,-0.1733068109,-0.134825517,-1.643227888,1.207208799,-2.993407298,2.675568594,7.659926075,8.616020119,-7.763273137,7.548251719,-3.939132234,-1.558196542,-3.144741695
2.74,0.7415653344,1.231034483,1.993116567,-2.816485006,-0.4106665036,2.45208962,-0.3414871881,0.3187401033,0.5752856154,7.000983693,-1.5672963,7.907810969,-7.717264741,-3.732267614,2.431086387,2.356982543,1.130058241,-0.1408262309,-0.1418358737,-1.814626362,1.340221417,-2.591537126,2.166300977,7.090597666,8.701734016,-7.851970916,7.761140915,-4.416687967,-1.994965223,-3.560740851
2.75,0.6870029147,1.59294924,2.803134628,-2.862184751,-0.4411113619,1.764957077,-0.1664878728,-0.2496083503,-0.02934064565,6.528778195,-1.481874989,7.453041315,-7.490620512,-3.831658738,2.321178139,1.810652178,1.002101605,-0.1072276456,-0.1478867764,-1.973627147,1.464066451,-2.174109323,1.644028526,6.478713646,8.740957231,-7.898729505,7.932564728,-4.873004372,-2.422054442,-3.959468442
